<0.0001	He	Li	C	C_13	N	N_15	O	O_17	O_18	F	Na	Mg	Al	Si	S	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	rem
0.5	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.5000000000000
1.0	0.0053180000000	0.0000000001080	0.0002587800000	0.0000002008800	0.0000041060000	0.0000000001440	0.0000116370000	0.0000000721710	-0.0000000042940	0.0000000055430	0.0000000322030	0.0000000216070	0.0000000032270	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.7200000000000
1.3	0.0259950000000	0.0000000001080	0.0037028000000	0.0000004813300	0.0000196020000	0.0000000016930	0.0000930690000	0.0000000763920	-0.0000000146830	0.0000001558900	0.0000002640500	0.0000001785500	0.0000000177870	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.6680000000000
1.5	0.0466460000000	0.0000000001190	0.0117100000000	0.0000008999600	0.0000405730000	0.0000000229490	0.0002750300000	0.0000003242800	-0.0000000282050	0.0000012556000	0.0000044785000	0.0000025319000	0.0000000296570	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.6610000000000
1.8	0.0879190000000	0.0000000000970	0.0233880000000	0.0000011751000	0.0000543260000	0.0000000300150	0.0004287000000	0.0000008234500	-0.0000000487040	0.0000048298000	0.0000361170000	0.0000186800000	0.0000000957930	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.6640000000000
1.9	0.1068900000000	0.0000000000660	0.0296900000000	0.0000014216000	0.0000639210000	0.0000000140690	0.0004715500000	0.0000008457700	-0.0000000584500	0.0000078963000	0.0000674980000	0.0000404050000	0.0000002308100	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.6810000000000
2.1	0.1414000000000	-0.0000000000240	0.0410710000000	0.0000016379000	0.0000717040000	0.0000000000000	0.0005569700000	0.0000006961500	-0.0000000689870	0.0000142140000	0.0001285900000	0.0001511900000	0.0000010512000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.6962000000000
2.3	0.1578900000000	-0.0000000000620	0.0485150000000	0.0000017866000	0.0000722410000	0.0000000000000	0.0006247300000	0.0000003640700	-0.0000000690090	0.0000186700000	0.0001624100000	0.0002252800000	0.0000019135000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.7130000000000
2.5	0.1274900000000	-0.0000000000600	0.0420720000000	0.0000112100000	0.0000383770000	0.0000000000000	0.0005796200000	0.0000005226200	-0.0000000819620	0.0000106050000	0.0000571950000	0.0003141000000	0.0000032749000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.7320000000000
3.0	0.0764850000000	0.0000000611570	0.0235960000000	0.0004402900000	0.0000810230000	0.0000000000000	0.0004140600000	0.0000012847000	-0.0000001476800	0.0000017349000	0.0000147510000	0.0001433600000	0.0000016323000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.8130000000000
3.5	0.1269100000000	0.0000000061530	0.0059670000000	0.0004061200000	0.0198210000000	0.0000003128900	0.0005149100000	0.0000008054300	-0.0000002773600	0.0000004126700	0.0000174650000	0.0001335400000	0.0000020024000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.8540000000000
4.0	0.2033700000000	0.0000000016100	0.0050000000000	0.0004252800000	0.0264480000000	0.0000004838200	0.0006484300000	0.0000011860000	-0.0000003342300	0.0000004633700	0.0000194670000	0.0001750400000	0.0000026807000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.8740000000000
4.5	0.2648700000000	0.0000000013290	0.0034416000000	0.0003519000000	0.0224790000000	0.0000004583800	0.0004746300000	0.0000012008000	-0.0000003861800	0.0000002022500	0.0000122750000	0.0001161900000	0.0000019696000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.8970000000000
5.0	0.3419900000000	0.0000000007230	0.0026457000000	0.0003849400000	0.0228880000000	0.0000005867600	0.0003816700000	0.0000014066000	-0.0000004386600	0.0000000649960	0.0000104690000	0.0001297000000	0.0000026228000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.9290000000000
5.5	0.4228600000000	0.0000000000680	0.0025914000000	0.0004177000000	0.0284260000000	0.0000008694100	0.0003699300000	0.0000019258000	-0.0000004891600	0.0000000394820	0.0000126560000	0.0002315100000	0.0000066348000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.9660000000000
6.0	0.5181700000000	-0.0000000001040	0.0018626000000	0.0003893300000	0.0337970000000	0.0000021831000	0.0006352700000	0.0000030072000	-0.0000005386500	0.0000000090310	0.0000125760000	0.0003451200000	0.0000176990000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	1.0080000000000
6.5	0.8325000000000	-0.0000000055490	0.0038680000000	0.0008518000000	0.0903600000000	0.0000061440000	0.0016890000000	0.0000104300000	-0.0000005760000	0.0000000192900	0.0000310100000	0.0026145000000	0.0002394000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	1.1000000000000
7.0	0.7512000000000	-0.0000000060230	0.0036140000000	0.0005662000000	0.0447800000000	0.0000064230000	0.0009486000000	0.0000065670000	-0.0000006231000	-0.0000000011990	0.0000045810000	0.0006854300000	0.0000734100000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	1.1700000000000
7.5	0.7224000000000	-0.0000000049870	0.0030970000000	0.0004973000000	0.0293700000000	0.0000074890000	0.0010040000000	0.0000074060000	-0.0000006694000	-0.0000000097860	0.0000016510000	0.0003233600000	0.0000267700000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	1.2300000000000
8.0	0.7224000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	1.3100000000000
8.5	0.7224000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	1.3100000000000
9.0	0.7224000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	1.3100000000000
13.0	4.0136000000000	0.0000000002170	0.0740660000000	0.0000000839050	0.0018322000000	0.0000000638450	0.4496300000000	0.0000016944000	0.0000000579210	0.0000000001170	0.0001440900000	0.0864240000000	0.0037764000000	0.0825520000000	0.0240370000000	0.0000053768000	0.0029359000000	0.0000000211940	0.0000806940000	0.0000165430000	0.0009396900000	0.0001328500000	0.0717270000000	0.0001756300000	0.0025654000000	0.0000051024000	0.0001257300000	1.5700000000000
15.0	4.4008000000000	0.0000000002940	0.1716100000000	0.0000000620530	0.0018580000000	0.0000000686320	0.7727200000000	0.0000015681000	0.0000048937000	0.0000000019720	0.0024470000000	0.0689080000000	0.0013693000000	0.0736290000000	0.0323140000000	0.0000086696000	0.0044322000000	0.0000000403120	0.0000937630000	0.0000108120000	0.0011682000000	0.0001854700000	0.0723730000000	0.0001319500000	0.0020759000000	0.0000037844000	0.0001227300000	1.4800000000000
18.0	5.4219000000000	0.0000000000730	0.2184900000000	0.0000000026270	0.0001891300000	0.0000000239760	1.3788000000000	0.0000002791500	0.0000046303000	0.0000000079100	0.0020781000000	0.1583600000000	0.0031421000000	0.1169900000000	0.0410420000000	0.0000210130000	0.0044141000000	0.0000000553880	0.0000888890000	0.0000123560000	0.0012189000000	0.0001739100000	0.0722870000000	0.0001610200000	0.0019883000000	0.0000040785000	0.0000955850000	1.6500000000000
20.0	5.9363000000000	0.0000000002790	0.2105500000000	0.0000000113760	0.0000542260000	0.0000000113230	2.1053000000000	0.0000000682990	0.0000000252460	0.0000000016250	0.0029023000000	0.1506100000000	0.0013667000000	0.0996710000000	0.0538110000000	0.0000535240000	0.0062447000000	0.0000002553200	0.0001027300000	0.0000110270000	0.0014678000000	0.0002256900000	0.0722920000000	0.0001495500000	0.0017434000000	0.0000035797000	0.0000833980000	1.6600000000000
25.0	8.0268000000000	0.0000000056770	0.2935700000000	0.0000000146550	0.0005912400000	0.0000001174700	2.7910000000000	0.0000014892000	0.0000006745400	0.0000000017100	0.0010266000000	0.1198100000000	0.0008079700000	0.3512100000000	0.1857000000000	0.0000837730000	0.0248150000000	0.0000006163400	0.0001656500000	0.0000090135000	0.0029670000000	0.0004303100000	0.0737980000000	0.0000156580000	0.0004420900000	0.0000001310100	0.0000025601000	1.9200000000000
30.0	9.5219000000000	0.0000000236000	0.3374600000000	0.0000000102020	0.0000016378000	0.0000000167490	4.8120000000000	0.0000000188290	0.0000000020650	0.0000000008940	0.0014159000000	0.2268500000000	0.0026266000000	0.2487400000000	0.1159100000000	0.0000164350000	0.0173620000000	0.0000001510100	0.0001899100000	0.0000105860000	0.0033411000000	0.0005157500000	0.0745770000000	0.0000024730000	0.0003860200000	0.0000000002380	0.0000000003080	2.0700000000000
40.0	11.8930000000000	0.0000000000380	0.4287000000000	0.0000000032150	0.0000005892300	0.0000006292600	8.3820000000000	0.0000000014220	0.0000002128400	0.0000000002380	0.0001842700000	0.4784200000000	0.0146840000000	1.0315000000000	0.3750400000000	0.0001456600000	0.0373370000000	0.0000005813500	0.0002678600000	0.0000175790000	0.0043871000000	0.0007150100000	0.0800010000000	0.0000018748000	0.0005781500000	0.0000000000210	0.0000000000440	2.8900000000000
50.0	15.0420000000000	0.0000000001010	0.5371000000000	0.0000000138690	0.0000152850000	0.0000156420000	10.7580000000000	0.0000000751100	0.0000001832100	0.0000000396730	0.0009848400000	0.6826300000000	0.0171910000000	1.3036000000000	0.5235300000000	0.0001655400000	0.0559230000000	0.0000007210800	0.0002916300000	0.0000198410000	0.0045572000000	0.0008304700000	0.0839690000000	0.0000020709000	0.0008988400000	0.0000000000190	0.0000000000400	4.1467000000000
60.0	18.1920000000000	0.0000000001640	0.6455000000000	0.0000000245230	0.0000299800000	0.0000306560000	13.1340000000000	0.0000001488000	0.0000001535700	0.0000000791090	0.0017854000000	0.8868500000000	0.0196970000000	1.5756000000000	0.6720300000000	0.0001854300000	0.0745080000000	0.0000008608000	0.0003154100000	0.0000221030000	0.0047273000000	0.0009459400000	0.0879370000000	0.0000022669000	0.0012195000000	0.0000000000180	0.0000000000360	5.4033000000000
70.0	21.3410000000000	0.0000000002270	0.7539000000000	0.0000000351760	0.0000446750000	0.0000456690000	15.5090000000000	0.0000002224900	0.0000001239400	0.0000001185400	0.0025860000000	1.0911000000000	0.0222030000000	1.8477000000000	0.8205200000000	0.0002053100000	0.0930930000000	0.0000010005000	0.0003391900000	0.0000243650000	0.0048974000000	0.0010614000000	0.0919050000000	0.0000024630000	0.0015402000000	0.0000000000160	0.0000000000310	6.6600000000000
80.0	24.4910000000000	0.0000000002900	0.8623000000000	0.0000000458300	0.0000593700000	0.0000606820000	17.8850000000000	0.0000002961700	0.0000000943030	0.0000001579800	0.0033866000000	1.2953000000000	0.0247100000000	2.1198000000000	0.9690100000000	0.0002251900000	0.1116800000000	0.0000011402000	0.0003629600000	0.0000266260000	0.0050675000000	0.0011769000000	0.0958740000000	0.0000026591000	0.0018609000000	0.0000000000150	0.0000000000270	7.9167000000000
90.0	27.6400000000000	0.0000000003530	0.9707000000000	0.0000000564840	0.0000740660000	0.0000756950000	20.2610000000000	0.0000003698600	0.0000000646690	0.0000001974100	0.0041871000000	1.4995000000000	0.0272160000000	2.3918000000000	1.1175000000000	0.0002450800000	0.1302600000000	0.0000012800000	0.0003867300000	0.0000288880000	0.0052376000000	0.0012923000000	0.0998420000000	0.0000028551000	0.0021816000000	0.0000000000130	0.0000000000230	9.1733000000000
100.0	30.7900000000000	0.0000000004160	1.0791000000000	0.0000000671380	0.0000887610000	0.0000907080000	22.6370000000000	0.0000004435500	0.0000000350350	0.0000002368500	0.0049877000000	1.7037000000000	0.0297230000000	2.6639000000000	1.2660000000000	0.0002649600000	0.1488500000000	0.0000014197000	0.0004105100000	0.0000311500000	0.0054077000000	0.0014078000000	0.1038100000000	0.0000030512000	0.0025023000000	0.0000000000120	0.0000000000190	10.4300000000000
<0.001	He	Li	C	C_13	N	N_15	O	O_17	O_18	F	Na	Mg	Al	Si	S	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	rem
0.5	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.5000000000000
1.0	0.0053180000000	0.0000000001080	0.0002587800000	0.0000002008800	0.0000041060000	0.0000000001440	0.0000116370000	0.0000000721710	-0.0000000042940	0.0000000055430	0.0000000322030	0.0000000216070	0.0000000032270	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.7200000000000
1.3	0.0259950000000	0.0000000001080	0.0037028000000	0.0000004813300	0.0000196020000	0.0000000016930	0.0000930690000	0.0000000763920	-0.0000000146830	0.0000001558900	0.0000002640500	0.0000001785500	0.0000000177870	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.6680000000000
1.5	0.0466460000000	0.0000000001190	0.0117100000000	0.0000008999600	0.0000405730000	0.0000000229490	0.0002750300000	0.0000003242800	-0.0000000282050	0.0000012556000	0.0000044785000	0.0000025319000	0.0000000296570	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.6610000000000
1.8	0.0879190000000	0.0000000000970	0.0233880000000	0.0000011751000	0.0000543260000	0.0000000300150	0.0004287000000	0.0000008234500	-0.0000000487040	0.0000048298000	0.0000361170000	0.0000186800000	0.0000000957930	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.6640000000000
1.9	0.1068900000000	0.0000000000660	0.0296900000000	0.0000014216000	0.0000639210000	0.0000000140690	0.0004715500000	0.0000008457700	-0.0000000584500	0.0000078963000	0.0000674980000	0.0000404050000	0.0000002308100	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.6810000000000
2.1	0.1414000000000	-0.0000000000240	0.0410710000000	0.0000016379000	0.0000717040000	0.0000000000000	0.0005569700000	0.0000006961500	-0.0000000689870	0.0000142140000	0.0001285900000	0.0001511900000	0.0000010512000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.6962000000000
2.3	0.1578900000000	-0.0000000000620	0.0485150000000	0.0000017866000	0.0000722410000	0.0000000000000	0.0006247300000	0.0000003640700	-0.0000000690090	0.0000186700000	0.0001624100000	0.0002252800000	0.0000019135000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.7130000000000
2.5	0.1274900000000	-0.0000000000600	0.0420720000000	0.0000112100000	0.0000383770000	0.0000000000000	0.0005796200000	0.0000005226200	-0.0000000819620	0.0000106050000	0.0000571950000	0.0003141000000	0.0000032749000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.7320000000000
3.0	0.0764850000000	0.0000000611570	0.0235960000000	0.0004402900000	0.0000810230000	0.0000000000000	0.0004140600000	0.0000012847000	-0.0000001476800	0.0000017349000	0.0000147510000	0.0001433600000	0.0000016323000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.8130000000000
3.5	0.1269100000000	0.0000000061530	0.0059670000000	0.0004061200000	0.0198210000000	0.0000003128900	0.0005149100000	0.0000008054300	-0.0000002773600	0.0000004126700	0.0000174650000	0.0001335400000	0.0000020024000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.8540000000000
4.0	0.2033700000000	0.0000000016100	0.0050000000000	0.0004252800000	0.0264480000000	0.0000004838200	0.0006484300000	0.0000011860000	-0.0000003342300	0.0000004633700	0.0000194670000	0.0001750400000	0.0000026807000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.8740000000000
4.5	0.2648700000000	0.0000000013290	0.0034416000000	0.0003519000000	0.0224790000000	0.0000004583800	0.0004746300000	0.0000012008000	-0.0000003861800	0.0000002022500	0.0000122750000	0.0001161900000	0.0000019696000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.8970000000000
5.0	0.3419900000000	0.0000000007230	0.0026457000000	0.0003849400000	0.0228880000000	0.0000005867600	0.0003816700000	0.0000014066000	-0.0000004386600	0.0000000649960	0.0000104690000	0.0001297000000	0.0000026228000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.9290000000000
5.5	0.4228600000000	0.0000000000680	0.0025914000000	0.0004177000000	0.0284260000000	0.0000008694100	0.0003699300000	0.0000019258000	-0.0000004891600	0.0000000394820	0.0000126560000	0.0002315100000	0.0000066348000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.9660000000000
6.0	0.5181700000000	-0.0000000001040	0.0018626000000	0.0003893300000	0.0337970000000	0.0000021831000	0.0006352700000	0.0000030072000	-0.0000005386500	0.0000000090310	0.0000125760000	0.0003451200000	0.0000176990000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	1.0080000000000
6.5	0.5991000000000	-0.0000000056380	0.0044720000000	0.0004070000000	0.0268300000000	0.0000002843000	-0.0017190000000	0.0000029660000	-0.0000057930000	-0.0000000666700	-0.0000042140000	0.0003127300000	0.0000337200000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	0.0000000000000	1.0700000000000
